Namespace(dict='data/CBTest/data/cbtest_NE_train.txtdict.pt', model='models/gru/model2_epoch8_acc_70.25.pt', out='models/gru/model2_epoch8_acc_70.25.ptresult.txt', testdata='data/CBTest/data/cbtest_NE_test_2500ex.txt.pt')
Loading dict data/CBTest/data/cbtest_NE_train.txtdict.pt
Loading test data
Loading model from  models/gru/model2_epoch8_acc_70.25.pt
 * vocabulary size = 15683
 * number of test samples. 2500
 * maximum batch size. 64
Building model...
Evaluate on test data
416 : 9 : 0
573 : 50 : 1
448 : 37 : 1
426 : 25 : 0
441 : 24 : 0
546 : 39 : 1
420 : 25 : 1
589 : 27 : 1
229 : 12 : 1
294 : 61 : 1
413 : 11 : 1
628 : 24 : 0
391 : 32 : 1
573 : 67 : 0
487 : 35 : 1
310 : 23 : 1
219 : 11 : 1
243 : 4 : 1
279 : 24 : 0
614 : 41 : 1
686 : 39 : 1
472 : 85 : 0
478 : 13 : 1
498 : 13 : 0
446 : 9 : 1
679 : 45 : 1
684 : 27 : 1
643 : 24 : 0
669 : 47 : 1
445 : 5 : 0
462 : 38 : 0
402 : 42 : 1
247 : 7 : 1
294 : 6 : 1
270 : 6 : 0
636 : 27 : 1
243 : 21 : 0
659 : 20 : 0
253 : 16 : 1
334 : 6 : 1
435 : 10 : 1
213 : 4 : 1
415 : 17 : 0
289 : 62 : 0
563 : 21 : 1
579 : 24 : 1
227 : 18 : 1
606 : 67 : 0
550 : 25 : 1
656 : 19 : 1
435 : 20 : 1
259 : 21 : 1
306 : 26 : 0
391 : 40 : 1
302 : 41 : 0
409 : 15 : 0
479 : 30 : 1
488 : 52 : 1
422 : 38 : 1
597 : 55 : 1
351 : 5 : 1
395 : 24 : 0
717 : 52 : 1
435 : 25 : 1
320 : 79 : 1
585 : 29 : 1
268 : 22 : 1
312 : 17 : 0
253 : 33 : 0
525 : 28 : 1
303 : 13 : 1
291 : 37 : 1
467 : 62 : 0
631 : 33 : 1
275 : 18 : 0
231 : 4 : 0
274 : 15 : 1
547 : 39 : 0
500 : 50 : 1
526 : 46 : 0
349 : 27 : 1
357 : 38 : 1
674 : 29 : 0
449 : 26 : 0
538 : 24 : 0
458 : 44 : 1
336 : 8 : 0
388 : 67 : 0
313 : 11 : 0
350 : 22 : 1
181 : 34 : 1
362 : 26 : 1
391 : 19 : 1
351 : 23 : 0
319 : 12 : 1
530 : 21 : 1
416 : 34 : 0
538 : 24 : 1
426 : 2 : 1
843 : 14 : 1
402 : 22 : 1
698 : 15 : 1
506 : 17 : 0
217 : 15 : 1
419 : 7 : 0
474 : 53 : 1
218 : 8 : 0
512 : 51 : 1
218 : 8 : 1
435 : 20 : 1
410 : 83 : 1
277 : 19 : 1
254 : 22 : 1
402 : 29 : 1
341 : 14 : 0
237 : 12 : 0
483 : 37 : 0
606 : 67 : 0
435 : 65 : 1
340 : 12 : 0
254 : 5 : 1
296 : 22 : 0
522 : 31 : 1
552 : 16 : 0
547 : 35 : 1
526 : 33 : 0
380 : 37 : 0
446 : 28 : 1
760 : 64 : 1
660 : 45 : 0
600 : 20 : 1
508 : 44 : 1
543 : 14 : 1
282 : 11 : 0
409 : 12 : 1
267 : 25 : 1
414 : 26 : 0
701 : 61 : 0
268 : 11 : 1
582 : 12 : 1
349 : 10 : 1
444 : 14 : 1
412 : 23 : 1
335 : 29 : 1
347 : 16 : 1
385 : 15 : 1
278 : 30 : 1
257 : 24 : 0
381 : 9 : 0
265 : 11 : 0
602 : 29 : 1
572 : 22 : 1
252 : 10 : 1
413 : 37 : 0
301 : 12 : 0
546 : 11 : 1
347 : 36 : 1
480 : 21 : 0
723 : 37 : 0
280 : 6 : 1
351 : 51 : 1
291 : 31 : 1
340 : 6 : 0
464 : 9 : 1
315 : 55 : 1
514 : 32 : 1
270 : 17 : 1
224 : 23 : 0
308 : 29 : 1
293 : 14 : 1
255 : 19 : 1
461 : 55 : 0
498 : 23 : 0
609 : 54 : 1
332 : 4 : 1
351 : 23 : 1
400 : 38 : 0
640 : 36 : 1
388 : 33 : 1
376 : 19 : 0
544 : 42 : 1
254 : 25 : 1
694 : 35 : 1
269 : 37 : 1
339 : 31 : 1
748 : 49 : 1
474 : 56 : 1
254 : 25 : 1
432 : 9 : 1
248 : 36 : 1
370 : 5 : 1
246 : 58 : 1
248 : 26 : 1
349 : 8 : 1
637 : 41 : 1
415 : 37 : 1
556 : 33 : 1
646 : 19 : 0
300 : 39 : 1
